id,food_item_id,donor_id,receiver_id,quantity,status,claimed_at,picked_up_at,created_at,updated_at,pickup_time,instructions_for_driver,pickup_slots,unit,latitude,longitude,postal_code,start_date,end_date,timezone
901470a3-2862-4222-bebb-1459afd5a918,31b10129-f9c9-42f3-8e12-964f021134f9,c08cf3e1-679e-4f00-ab9c-36089b9aa8b2,,2,available,,,2025-09-09 04:00:08.906275+00,2025-09-09 04:00:08.906275+00,,aa,"[{""date"": ""2025-09-25"", ""end_time"": ""14:00"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
e0c29357-f254-435f-b7c6-4a0729a96fbe,e434618a-0dac-406d-b2ef-11431aa8b631,44a324c3-7892-4f75-a065-eb2ae1c9d64c,,6,claimed,2025-09-09 08:22:19.398+00,,2025-09-08 10:12:24.046437+00,2025-09-09 08:22:19.536727+00,,Kulku lastauslaiturin kautta & soita ovikelloa.,"[{""date"": ""2025-09-08"", ""end_time"": ""10:30"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
98f4c9eb-257b-4958-8c6d-250a777365d5,3367ef3c-0328-42a0-ab4e-cb3f2c2a32ee,c08cf3e1-679e-4f00-ab9c-36089b9aa8b2,,23,claimed,2025-09-09 04:00:25.158+00,,2025-09-05 08:40:21.848961+00,2025-09-09 04:00:25.294285+00,,aa,"[{""date"": ""2025-09-18"", ""end_time"": ""14:00"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
f8a6eec8-bdb8-4056-8ca1-95b2b04e74c8,449ab2b3-2971-47cf-9a32-2aec7f0c7849,44a324c3-7892-4f75-a065-eb2ae1c9d64c,,6,claimed,2025-09-05 08:20:50.35+00,,2025-09-04 10:39:44.66498+00,2025-09-05 08:20:50.515051+00,,Kulku lastauslaiturin kautta & soita ovikelloa.,"[{""date"": ""2025-09-04"", ""end_time"": ""10:30"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
2752c737-abd7-40ba-b1bf-e441433236fb,e3e7631d-9ba9-41ae-9e98-08aede59188a,44a324c3-7892-4f75-a065-eb2ae1c9d64c,,5,claimed,2025-09-08 06:31:41.449+00,,2025-09-04 10:39:42.417682+00,2025-09-08 06:31:41.565051+00,,Kulku lastauslaiturin kautta & soita ovikelloa.,"[{""date"": ""2025-09-04"", ""end_time"": ""10:30"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
e0dae0f3-b128-4677-8d57-d7435aacdadf,fb3e9db4-13a6-45a7-b9a6-550e3139cb6c,c08cf3e1-679e-4f00-ab9c-36089b9aa8b2,,2,claimed,2025-09-04 15:49:11.69+00,,2025-09-03 23:02:44.797541+00,2025-09-04 15:49:14.499485+00,,aa,"[{""date"": ""2025-09-03"", ""end_time"": ""02:30"", ""start_time"": ""14:30""}]",kg,,,,,,UTC
c2219b81-e2a8-4bc7-894e-7a8edf6dd8fc,1373af66-331a-4d37-8fac-90d5c6ba78f7,44a324c3-7892-4f75-a065-eb2ae1c9d64c,,5,claimed,2025-09-04 10:36:24+00,,2025-09-03 10:31:05.000757+00,2025-09-04 10:36:24.15154+00,,,"[{""date"": ""2025-09-02"", ""end_time"": ""14:00"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
68fed818-ad29-4932-b078-6d4216739463,d5c857bb-5a4f-4a4f-8bb0-f0c13bcc337c,44a324c3-7892-4f75-a065-eb2ae1c9d64c,,4,claimed,2025-09-08 05:47:12.003+00,,2025-09-03 10:31:03.916549+00,2025-09-08 05:47:12.168173+00,,,"[{""date"": ""2025-09-02"", ""end_time"": ""14:00"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
765ba716-ea9f-45df-80ad-4e7b1ff67646,57e32658-937e-4092-a597-25ee9d77cc96,44a324c3-7892-4f75-a065-eb2ae1c9d64c,,4,claimed,2025-09-02 10:09:09.399+00,,2025-09-01 10:14:50.957288+00,2025-09-02 10:09:09.65453+00,,,"[{""date"": ""2025-09-01"", ""end_time"": ""10:30"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
5394c8f1-7784-4148-a8b5-5114f1abeb85,79c8863b-cc36-4745-a8e3-ad826ecb9d8c,44a324c3-7892-4f75-a065-eb2ae1c9d64c,,3,claimed,2025-09-08 05:47:06.238+00,,2025-09-01 10:14:50.191517+00,2025-09-08 05:47:06.406872+00,,,"[{""date"": ""2025-09-01"", ""end_time"": ""10:30"", ""start_time"": ""09:00""}]",kg,,,,,,UTC
